,Agriculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,13126162.97469003,0.0,853.6674438470001,12412.969755402002,0.0,1.000703211,8841.253767089003,0.41202414600000004,,5814.7842645440005,171299.845764926,554.1189145860001,,0.0,297.14920486600005,0.0
Beach and Dune,0.0,105142.851791107,,0.35721904299999996,,,3.483247736,7.680766192999999,,151.73434269999998,4.733619592,140.04085780000003,,0.446579272,0.08929691199999999,
Forest Plantation,2823.791805552,,1478541.3331786199,250.218021985,0.252940015,0.0,4260.423432857,,,51.248059983999994,784.0677173599998,0.338664019,,,1.2511799620000001,0.0
Grassland,206630.80572191294,1.696742084,607.6079881609999,17928638.192018,1.6266274230000002,0.0,8953.118164611999,0.0,,35294.418754922,45351.15828746,2410.05170355,,30.72354666,91.664328884,0.25591570399999997
Mining,0.589454016,,0.0,1.208420472,12796.08190101,,2.071501673,,,5.281864264,1.629714715,0.516606396,,,0.927922052,
Mosaic of Agriculture and Pasture,3.999267115,,0.082275275,0.0,,166.59953407199998,0.335439282,,0.0,0.0,0.168207049,0.0,0.0,,0.0,0.0
Natural Forest,248588.00014397004,7.947759607,16891.845442325004,42991.00146127698,9.023136059,0.338415228,98162479.77819511,0.854802167,0.0,45088.12344017401,620891.5305486098,4753.291031970998,0.0,11.340621453,228.272470286,0.0
Non Observed,0.746372241,2.679331451,,0.0,,,1.511571033,27.133980073999997,,0.893012598,0.828150623,4.650599591,,0.267903918,0.0,
Other Non Forest Natural Formation,0.0,,,0.0,,0.0,0.0,,1.2816395999999999,,0.0,,,,,
Other Non Vegetated Area,90303.420917788,131.6376634,303.512916351,9709.810030665,0.682987421,0.0,2831.523558971,0.604988294,,544587.0801592999,38407.048873504,1190.875301047,,2.857897266,959.9121125700002,
Pasture,857157.667575032,10.983737112,20132.368888129,63397.30728170001,37.209436521,0.836363105,125109.65362899199,0.578585742,0.0,30492.129407278997,62623047.75964999,13161.581400934998,,0.089298322,2859.3347967080003,0.0
"River, Lake and Ocean",24.279245832,72.697562388,0.0,190.338971834,1.1127457029999999,0.0,1124.792586409,3.387240955,,1001.545718379,400.558957596,1223798.212944,,8.126364612,1.061456189,
Rocky outcrop,,,,,,,0.0,,,,,,0.59470329,,,
Salt flat,0.0,0.982340222,,5.090859772,,,8.036776557,0.178600482,,10.98547355,0.803705731,3.304580627,,6168.5048114969995,0.0,
Urban Infrastructure,0.251787738,0.08931400099999999,0.0,1.0341014339999999,0.930217578,,1.128297692,,,2.921332585,2.142170081,0.0,,0.0,498552.63912600005,
Wetland,,,,0.598021637,,0.0,0.0,,,,0.0,0.0,,,,6.958099359
