,Agriculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,10991594.947298244,0.0,1221.263513656,16667.748892155003,0.257698267,0.8363403020000001,19873.470032887002,0.329895953,,20741.134622272002,349611.7829202129,603.0171677650001,,0.0,755.8768218260002,0.0
Beach and Dune,0.0,102236.34926115,,0.17860737899999998,,,1.518256049,4.555227905,,90.2919617,4.197425336,43.5836336,,1.250284973,0.0,
Forest Plantation,3408.285428689,,1402360.52012133,120.665759147,0.0,0.0,3316.8499435800004,,,119.185924339,1201.012902464,0.0,,,0.5073559139999999,0.0
Grassland,95111.06636366903,0.26792102100000004,546.922978067,18300152.521621,4.926529541000001,0.0,13599.309423130999,0.08863530300000001,,53774.97215438501,45369.258697900004,564.902079156,,4.822778973,265.675818754,0.344017432
Mining,0.168421002,,0.0,0.772040979,12004.741848680002,,1.896175275,,,3.95400382,3.492783429,0.33715994299999996,,,0.8479173520000001,
Mosaic of Agriculture and Pasture,2.087456592,,0.0,0.08614086300000001,,160.842941359,0.498645185,,0.0,0.082605042,0.083758716,0.0,0.0,,0.0,0.0
Natural Forest,134854.69002010598,8.484884124999999,9747.185972458998,22375.134484062008,7.4772005980000005,0.24924675300000002,101557073.38160469,0.928221503,0.0,37647.90590508901,617651.0840510201,7504.737441773001,0.0,5.625526691,316.41007648699997,0.249446631
Non Observed,0.16482738,1.607610107,,0.0,,,0.8420855100000001,22.723521077000004,,0.0,0.675192206,2.296655554,,0.53579903,0.0,
Other Non Forest Natural Formation,0.0,,,0.0,,0.0,0.0,,0.936877826,,0.0,,,,,
Other Non Vegetated Area,25624.78665918,128.07056070000002,96.455697136,9328.620817573,0.598805523,0.0,1596.7461619570004,0.707815863,,472938.1748715,33742.092287114996,214.222031913,,0.8037699220000001,1644.775167017,
Pasture,504549.73489759205,11.16369517,6939.412712838,71233.63903519999,24.737404511999998,1.933790314,114373.627137285,0.33166192,0.085418854,14485.631849338,61785213.25277,1806.456232635,,0.0,3842.9737712520005,0.0
"River, Lake and Ocean",38.918638684,183.44243669999997,0.516403394,603.596645356,4.049947528,0.0,1169.058080412,2.168726972,,6130.403652149999,630.8484985690002,1108958.46658808,,6.073121924,14.175569165,
Rocky outcrop,,,,,,,0.0,,,,,,0.51031944,,,
Salt flat,0.0,0.80382619,,166.8143291,,,118.31750547700001,0.446508325,,19.02209216,21.96731346,22.23857874,,8364.669195894001,0.0,
Urban Infrastructure,0.248463996,0.089314716,0.0,0.43106722399999997,0.16865506600000002,,0.25948296,,,3.506700176,4.185179010000001,0.0,,0.0,459555.3792880001,
Wetland,,,,0.340073749,,0.0,0.0,,,,0.0,0.0,,,,6.367597906
