,Agriculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,22659342.426708177,0.0,3760.0603026119993,3618.8091476130003,0.171049054,1.4216567439999999,4562.735193039,0.164993597,,13013.593743878,126282.31046038505,100.61289254500001,,0.0,727.803476582,0.0
Beach and Dune,0.0,105700.01950281,,0.5358510129999999,,,3.393964075,3.2151595339999997,,183.71707130000001,1.339665985,58.2292218,,0.0,0.0,
Forest Plantation,6331.103519613001,,2932193.2827801206,130.913041536,0.252827386,0.0,1086.4237434140002,,,2.578401238,764.60967571,0.42673255,,,78.68508737100001,0.0
Grassland,16597.923345575997,0.625148358,2305.16152749,16859435.803244,21.275523759000002,0.0,5808.184178572001,0.16588112800000002,,16938.815067615,57219.12877227999,234.12999699000002,,5.805264977999999,102.62275049499999,0.42985526700000004
Mining,0.254547272,,0.0,0.860289844,14496.821158690002,,0.942123365,,,7.530346831999999,9.251490281999999,3.7717502200000004,,,5.2630484200000005,
Mosaic of Agriculture and Pasture,3.582785443,,0.0,0.0,,164.99481967,0.167088599,,0.0,0.0,0.08318385,0.0,0.0,,0.0,0.0
Natural Forest,49425.39820984999,3.4830905089999997,40523.654464905005,5409.133800169,6.175101795,0.0,91515091.62366441,1.24401189,0.0,19545.681074383996,384313.5314501551,524.960275494,0.0,1.51817301,262.84014831900004,0.177067542
Non Observed,0.082392932,0.535803851,,0.16585165400000002,,,1.205598395,26.542740392,,1.7796208009999999,1.5985625730000002,3.789064038,,0.0,0.0,
Other Non Forest Natural Formation,0.0,,,0.0,,0.0,0.0,,0.249192816,,0.0,,,,,
Other Non Vegetated Area,11499.115025736999,134.94236740000002,204.132729139,8994.025483925,122.793691627,0.0,2829.1241910939993,0.7078872679999999,,486313.3325723,20257.891387041003,512.400996051,,3.840171948,613.9895139829999,
Pasture,506111.06036798895,49.56400257,40799.992887481996,32157.656047110002,32.346174872,0.16646676,128635.79890323902,0.841269599,0.0,21108.180688962995,60347685.24403999,253.437617238,,0.089296851,2732.963862366,0.0
"River, Lake and Ocean",132.891905125,56.80153075,1.767240594,665.936426208,12.544456778,0.0,1789.5577384360001,4.815669287,,5904.084882920999,3690.948524506999,1305520.9113592901,,1.339561981,8.080162043,
Rocky outcrop,,,,,,,0.0,,,,,,0.7633263790000001,,,
Salt flat,0.0,0.357240839,,11.61050219,,,4.375924665,0.53579682,,3.572258539,0.0,2.143264154,,6404.830083769,0.0,
Urban Infrastructure,0.596865857,0.0,0.0,0.345441589,48.917353939,,2.179436461,,,1.622142804,3.1539997129999997,0.084290167,,0.0,674809.8388459999,
Wetland,,,,0.429404755,,0.0,0.0,,,,0.0,0.0,,,,7.951014592999999
