,Agriculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,17009736.898271106,0.0,47343.323250122005,29507.482640013997,4.226765051,4.7438324089999995,52742.274929267995,0.411872534,,8015.712274669,794295.209796441,2292.4090445819998,,0.0,6804.930475340002,0.16638493
Beach and Dune,0.08930049400000001,104492.72163779,,30.007400937,,,48.406073852,10.89553033,,891.5724982,67.96204505,1482.571056,,9.465993665,3.2147311160000003,
Forest Plantation,34267.649451713994,,2190678.27434109,47.513198499,3.204348682,0.0,2910.856189185,,,6.296178956,908.135822967,0.44036998899999996,,,301.53857925,0.0
Grassland,367025.282940156,196.7405862,11452.441233739999,16786308.583417,45.893344989999996,0.0,32622.958289839,0.0,,40292.065280824,333641.35886146,5037.822703094,,61.357119999999995,2245.9631475839997,0.168177832
Mining,30.443811998999998,,0.084216852,23.156704952,12260.5365951,,5.721853406,,,379.959517195,90.324276547,99.68263241700001,,,135.85846789800001,
Mosaic of Agriculture and Pasture,11.115139118000002,,0.082938428,0.0,,148.689442794,3.4255961490000004,,0.0,0.0,1.8501347590000001,0.0,0.0,,0.41941955,0.166451453
Natural Forest,974351.2079180531,159.684155873,126706.15024336001,69810.96362288,382.31521185599996,1.248400366,91040885.4187194,8.469406554999999,0.0,54821.22872345,3214965.4116003895,36364.17514731201,0.0,67.5095096,6635.437413676,0.082907776
Non Observed,0.412462262,1.518312488,,0.33169248,,,2.060529346,10.594561511000002,,1.2431872499999999,1.776676618,30.830915897999997,,0.178597632,0.24820361300000002,
Other Non Forest Natural Formation,0.0,,,0.0,,0.0,0.0,,0.579439423,,0.0,,,,,
Other Non Vegetated Area,54304.731659432975,325.33374060000006,1748.5384371360003,14712.054370024001,47.053914901,0.08927998,12087.105642683002,0.5357879879999999,,359899.42027505994,32090.986292655998,1897.828531615,,29.38040817,3529.7133139000002,
Pasture,4057843.0055354093,157.9854452,473738.48214140005,194935.61264209996,683.2662200350001,9.199858716,1179075.4052849,2.087747491,0.0,20739.01600092,56620756.139189996,19271.276481775,,3.75120506,36206.14517107,0.0
"River, Lake and Ocean",879.3847267849998,887.3973107999999,9.135028302,5614.3776630190005,287.632576912,0.0,20475.120027440997,2.347299231,,19003.929168637,70429.22500330498,1253675.21039481,,27.14823134,143.46977423400003,
Rocky outcrop,,,,,,,0.0,,,,,,1.189786176,,,
Salt flat,0.0,13.39562745,,127.26192859999999,,,47.779331629,0.446498145,,30.98816968,0.44650308200000005,20.62954486,,6402.8781178009995,0.0,
Urban Infrastructure,0.507644751,0.0,0.0,0.34433612,10.547278119000001,,1.468568689,,,1.033043512,6.943480578999999,0.178305402,,0.0,590161.6213420001,
Wetland,,,,0.7719357729999999,,0.0,0.0,,,,0.0,0.0,,,,7.638639331
