,Agriculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,23327858.895292714,0.0,2038.2513108510002,1676.1549438420002,3.4876849670000003,0.501632665,2732.735112428,0.082370447,,4035.8841473109997,65945.58802533199,7.356190773,,0.0,1272.9889032600001,0.0
Beach and Dune,0.089315625,105616.104697052,,2.32181369,,,4.822713342,2.232672827,,420.4699602,3.125616949,14.37919084,,0.17861912800000002,0.0,
Forest Plantation,6154.048572866998,,3060502.8098261203,30.482890719999997,0.085059015,0.0,161.38874677799998,,,2.5862605289999996,136.17809601399998,0.0,,,17.334675289,0.0
Grassland,22146.961714037,0.803748199,605.872389777,16744445.702878997,31.146658205,0.0,8889.566946492,0.0,,15451.355319609,67951.13946385,418.53128509100003,,5.805281396,161.77893622500002,0.255806414
Mining,18.86714839,,0.167477393,1.1152276859999999,14438.43095686,,0.9460910519999999,,,115.283323361,200.108522123,9.411319451,,,32.407924547,
Mosaic of Agriculture and Pasture,2.507682848,,0.17049171100000002,0.0,,162.66692382300002,0.418098956,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Natural Forest,72247.085368731,1.786289948,15970.627011181998,9976.845525440996,27.299536057999997,0.16741889599999998,90924045.65038358,0.33799485500000004,0.0,17592.967922945005,424153.8880588501,730.2338894690001,0.0,2.58971209,255.841949039,0.0
Non Observed,0.330278802,1.6967830869999998,,0.165964368,,,1.1863123230000001,28.429706408,,2.379193817,1.2564269959999999,3.048804981,,0.0,0.0,
Other Non Forest Natural Formation,0.0,,,0.0,,0.0,0.0,,0.249192816,,0.0,,,,,
Other Non Vegetated Area,23926.890379544002,104.49445279999999,46.388447904,13126.637604719,153.65320112500004,0.0,2734.1466278239996,0.261386231,,501275.5419591,28267.406235429997,558.013319204,,1.071652649,647.5574531789999,
Pasture,504925.766314607,10.00228738,29658.437288803998,34395.84983911,24.845968089,0.339063196,123207.824744209,0.509333954,0.0,12609.105922151,60269539.39523,242.290938901,,0.0,2394.865613331,0.0
"River, Lake and Ocean",194.383149502,58.58908969,0.0,1574.9322833920003,19.902984068,0.0,3389.476222411999,2.3282368900000003,,882.119624428,2002.0180937450002,1289170.67664979,,0.0,43.724615646,
Rocky outcrop,,,,,,,0.0,,,,,,0.678792273,,,
Salt flat,0.0,0.17861743800000002,,2.8579125,,,1.250304688,0.08929874900000001,,0.535806525,0.0,1.160980231,,6305.527871907,0.0,
Urban Infrastructure,0.9272808109999999,0.089299664,0.0,0.8648335509999999,36.01767513699999,,1.217904309,,,1.562281287,4.7352306220000004,0.0,,0.0,686273.174863,
Wetland,,,,0.08603170199999999,,0.0,0.0,,,,0.0,0.0,,,,7.984613537000001
