,Agriculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,6608381.760084726,0.0,1305.6103903529997,325331.338421251,0.767529626,3.5825838450000003,134784.19365764703,0.0,,6961.415753667,624911.418652196,281.788270523,,0.0,6851.583455504001,0.0
Beach and Dune,0.0,95574.03627008,,23.40000255,,,51.97938495,2.321923029,,285.33250463800005,43.85186466099999,719.6751653,,1.607611621,0.0,
Forest Plantation,956.6420122740001,,827747.4777307,2855.891048052,0.0,0.0,82141.571009591,,,347.984020872,10897.61985808,0.0,,,14.662124545000001,0.0
Grassland,266637.6384581,41.97265483,4313.13475502,18463953.114073,26.418788777,0.0,268021.23839381704,0.440180872,,28677.974437443,362863.00538519997,4678.824241160999,,67.15791888,3517.627425777,0.08591721199999999
Mining,1.6344615230000001,,0.0,4.842681689,9404.67311894,,22.385792952000003,,,2.3083694280000002,25.364644818,3.121558869,,,0.678950647,
Mosaic of Agriculture and Pasture,2.831763172,,0.0,0.0,,128.12512355500002,0.5898437940000001,,0.0,0.0,12.617823481,0.24675799,0.084512744,,0.418059613,0.0
Natural Forest,616408.8053907738,185.48893338500002,93608.36176977,149500.613681262,165.40260894199997,4.763192633,108873642.95216314,2.167845741,0.083141229,54832.801494096,4917763.342550345,16242.955543473,0.0,97.510661143,7051.975713398,0.165990533
Non Observed,0.16496875,4.644042908,,0.334846601,,,5.675922247000001,10.095795319,,0.178600488,0.420812884,4.101470685,,0.446501135,0.330426605,
Other Non Forest Natural Formation,0.341121436,,,0.0,,0.0,0.086012811,,3.5108123840000003,,0.0,,,,,
Other Non Vegetated Area,47209.142216652006,364.18144575,872.418968269,24603.446552577,12.145551505000002,0.083044153,24910.546806952003,2.124159754,,417447.26261340006,120105.4087434,7671.766325023,,12.23526389,22364.38412946,
Pasture,775928.198369673,180.4867128,53028.26893523,221939.2655836,558.37244918,10.698932129000001,2378801.1068322645,0.42055162999999995,0.086242236,26862.801642259998,50254393.3968,4408.579512792,,0.17861189,32104.880529623,0.083709875
"River, Lake and Ocean",362.31832788699995,1900.360150732,6.298436292000001,4373.852257021001,0.518838007,0.0,14927.00310036,3.6485913329999997,,2910.227607028,15831.418087405002,929697.86771543,,106.548591151,93.149485796,
Rocky outcrop,,,,,,,0.0,,,,,,0.341644226,,,
Salt flat,0.0,0.982379193,,12.50360958,,,20.00543791,0.44649921299999995,,21.07379233,0.089298553,218.345272409,,6979.753082771,0.0,
Urban Infrastructure,0.0,0.0,0.0,0.086037238,0.0,,0.088951611,,,0.0,1.2798712519999997,0.0,,0.0,192913.88732116,
Wetland,,,,0.340253216,,0.0,0.08309401200000001,,,,0.0,0.0,,,,6.162364441
