,Agriculture,Beach and Dune,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Forest Natural Formation,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Rocky outcrop,Salt flat,Urban Infrastructure,Wetland
Agriculture,7821047.107384505,0.0,1494.386769523,30160.478275694993,0.0,1.001119019,13506.00145261,0.0,,11597.153038268003,196014.09488942302,50.047732936,,0.0,662.2052105199999,0.0
Beach and Dune,0.0,98988.43777067,,0.53585578,,,1.16102359,0.6251290279999999,,33.849030253,0.7144424739999999,17.41550259,,0.357260101,0.0,
Forest Plantation,325.684051384,,929941.5961219961,1424.198323946,0.0,0.0,47047.61338238401,,,220.896205313,4134.690732979,0.0,,,42.11157635,0.0
Grassland,106551.21222877999,7.858818469,1115.161474054,19034662.814931,0.7749872499999999,0.0,33742.843775766,0.17859847399999998,,14018.268714946,42367.438033180006,622.365386321,,13.84202162,844.532679096,0.171799011
Mining,1.032655884,,0.0,0.427888794,10561.271591370001,,1.1119719049999999,,,0.943288758,1.9632979540000002,0.08432863800000001,,,0.167951556,
Mosaic of Agriculture and Pasture,1.4962908879999999,,0.0,0.0,,151.40067598299999,0.420658124,,0.0,0.0,1.5099763,0.086014166,0.0,,0.0,0.0
Natural Forest,112003.88479510002,18.040330436,48735.612836371,15779.879485867,8.449140253,0.589659247,112486637.72106507,1.4476445129999997,0.0,22816.087889927,875040.8415351262,1609.1037937039998,0.0,25.449244833999998,1136.589914777,0.0
Non Observed,0.0,2.232888281,,0.0,,,1.702966704,17.235091010000005,,0.886493384,0.337718505,2.01557879,,0.178601709,0.0,
Other Non Forest Natural Formation,0.0,,,0.0,,0.0,0.0,,0.851426202,,0.0,,,,,
Other Non Vegetated Area,10271.928381001,82.25261479,674.3537385479999,5487.133030953,0.599922345,0.083151019,3329.130750842,0.714408215,,390399.40168793994,36906.37403205699,772.765783991,,7.769824213,1972.9948425459997,
Pasture,253690.251811309,15.717986018000001,17741.409730985,60765.16093500001,8.230081323,0.922470209,221005.905019019,0.165364423,0.086242236,16752.87737357,54213603.63189,551.515414726,,0.0,2964.6163302700006,0.0
"River, Lake and Ocean",34.329497816,85.64974489,0.17108916600000001,190.54175302500002,0.342838544,0.0,801.7955986599999,0.9760173100000001,,631.1713596120002,191.427470982,962022.55735109,,22.15030156,2.008816022,
Rocky outcrop,,,,,,,0.0,,,,,,0.7681729799999999,,,
Salt flat,0.0,0.446545221,,6.966129584,,,4.644013758,0.0,,1.1608886109999998,0.0,7.055599890000001,,7565.753050304999,0.0,
Urban Infrastructure,0.338113867,0.0,0.0,0.594594575,0.084325317,,0.351584063,,,1.978203707,2.7219129270000004,0.0,,0.0,282795.4358855,
Wetland,,,,0.254215943,,0.0,0.0,,,,0.0,0.0,,,,5.888544464
