,Agriculture,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Urban Infrastructure,Wetland
Agriculture,26.489210121,0.0,0.688044232,,,0.171769843,0.0,,363.93308908,0.0,39.80415699,0.0
Forest Plantation,0.0,5.148134344,0.0,,,0.0,0.0,,0.0,0.0,,0.0
Grassland,1987.7439593939998,0.512391528,3591585.766,56.3830094,,35872.521307999996,68.71215583,0.0,389369.7919,1253.5203067999998,293.28080537,382540.61100000003
Mining,,,3.719818787,422.5823987,,0.33822420000000003,0.0,,0.592082233,0.42294301799999995,,0.0
Mosaic of Agriculture and Pasture,1574.3143643629999,8.693142285,18843.15269,10.0624746,84870.17122,14445.9654265,6.373372497999999,12.01739921,124356.19292999999,40.089185384000004,634.8220942,1730.4990265000001
Natural Forest,8857.268096353999,15.315967813,125110.444066,171.93319100600002,,4513307.361423,20.055805888000002,4.993458801,1071990.6626,165.95663890999998,474.0210873699999,191.5292742
Non Observed,0.596479528,,27.857374796000002,0.0,,5.679669715,234.87747537,,108.53874898,2.97828916,0.504070221,1.4239366329999998
Other Non Vegetated Area,0.0,,0.0,,,0.0,0.0,71.31662524,0.6851133540000001,,116.57551313,
Pasture,5330.55540672,69.99846499,33931.68017,0.084554706,,5540.4633723,20.897260547000002,0.084625232,364496.06506,68.4007899,629.2122614,472.7807104
"River, Lake and Ocean",43.934339721,26.010991301,14738.390431,0.676513367,,998.137373913,23.773984664,,394.31914498,473207.4373,0.253919379,15851.689222
Urban Infrastructure,,,0.0,,,,0.0,,0.0,,2848.748574,
Wetland,59.094451963000004,1.1100137879999998,1671190.6106,,,1874.2961897999999,2.96459256,,19082.414431,11175.830272,0.0,2100962.1232000003
