,Agriculture,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Urban Infrastructure,Wetland
Agriculture,403.91102462999993,0.0,0.08602322400000001,,,0.0,0.0,,27.089222448,0.0,0.0,0.0
Forest Plantation,0.0,5.148134344,0.0,,,0.0,0.0,,0.0,0.0,,0.0
Grassland,77.56787446,0.0,3878524.643,1.35274032,,33648.508193999995,6.549722222,0.0,82901.22864,1132.2557033,3.08489624,406733.653
Mining,,,0.16907628800000002,426.55640610000006,,0.929984509,0.0,,0.0,0.0,,0.0
Mosaic of Agriculture and Pasture,60.22893211,0.0,21997.539037000002,7.1876859920000005,88452.08684,8965.668740000001,1.022539569,0.0,126292.45724000002,62.95617084999999,84.61311151000001,608.5930321999999
Natural Forest,43.457534718,0.0,66231.807334,13.272242225000001,,5520005.363988001,2.79942165,0.0,133259.12929,241.53585556800002,18.132569978,494.043408
Non Observed,3.1436611880000003,,35.164153922000004,0.0,,2.4634445560000002,261.61848658,,76.77530813999999,1.436400653,0.0,1.8545893610000002
Other Non Vegetated Area,6.533927386,,4.643882141000001,,,0.0,0.257948718,82.55306816000001,8.496170105,,86.09225522,
Pasture,58.35588055,0.0,18155.094084,0.084554706,,3730.5403157,0.514760949,0.0,388333.14994,11.566271235,117.38517972,153.53176292999999
"River, Lake and Ocean",2.657504675,0.084450421,752.3180437,0.0,,29.527949272,12.235603210999999,,39.594448664,498214.79339999997,0.253919379,6233.157853000001
Urban Infrastructure,,,0.0,,,,0.0,,0.0,,2848.748574,
Wetland,6.056903955,0.25335372899999997,1183280.1014999999,,,2818.0060341700005,4.23803678,,2691.338808,7901.437345,0.0,2607647.012
