,Agriculture,Forest Plantation,Grassland,Mining,Mosaic of Agriculture and Pasture,Natural Forest,Non Observed,Other Non Vegetated Area,Pasture,"River, Lake and Ocean",Urban Infrastructure,Wetland
Agriculture,431.0862703,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
Forest Plantation,0.0,5.148134344,0.0,,,0.0,0.0,,0.0,0.0,,0.0
Grassland,57.808361537,0.0,4093175.6700000004,0.0,,9925.278372699999,46.229035034,0.42320213,900.7695224999999,25.604079740000003,0.0,298897.06039999996
Mining,,,0.25361043699999997,426.5564265,,0.845429926,0.0,,0.0,0.0,,0.0
Mosaic of Agriculture and Pasture,0.426911041,0.0,311.21161839,0.08453726199999999,51435.559049999996,120.365787402,32.712038661,0.0,194611.33377000003,1.194867652,2.954706775,16.5100369
Natural Forest,12.47204829,0.0,32445.1325474,0.0,,5686514.854410901,3.746077906,0.08463783,1095.72913276,8.071809979,0.0,229.45074938999997
Non Observed,39.427819595,,28.26925485,0.0,,0.7624863049999999,298.62928717000005,,13.329794032,1.5301365969999998,0.0,0.507265906
Other Non Vegetated Area,0.0,,0.0,,,0.0,37.552951751,85.19190539,64.73214072,,1.1002538640000001,
Pasture,15.596086629999999,0.0,6.903119641,0.0,,0.757372833,0.256514959,0.0,410535.86354,0.085470331,0.338551855,0.422109485
"River, Lake and Ocean",0.0,0.0,167.35153954999998,0.0,,1.527227948,1.095124255,,4.404253094,504913.905,0.0,196.34006358000002
Urban Infrastructure,,,0.0,,,,0.0,,0.0,,2848.748574,
Wetland,0.0,0.0,1312795.6746,,,537.82498907,2.286159571,,138.44729456,64.28385245,0.0,2490809.927
